text,label
"contact our support team for help. For more details, visit our website.",safe
reset password — verify your details now.,phishing
Notice: signin. Please update your details.,phishing
signin. Immediate action required.,phishing
payment failed immediately to avoid account suspension.,phishing
Important: billing issue. Follow the link to confirm.,phishing
account suspended — verify your details now.,phishing
login. Please click the link below to resolve this.,phishing
"learn more about our services. If you have questions, contact support.",safe
"Dear customer, click here. Click here to continue.",phishing
update billing,phishing
"your subscription is active. If you have questions, contact support.",safe
Notice: verify account. Please update your details.,phishing
download attachment. Please click the link below to resolve this.,phishing
"your payment was processed successfully. If you have questions, contact support.",safe
"Dear customer, enable macros. Click here to continue.",phishing
subscribe to our newsletter,safe
welcome to our website,safe
"your refund has been processed. For more details, visit our website.",safe
"your appointment is confirmed. If you have questions, contact support.",safe
meeting scheduled for tomorrow at 3pm,safe
account settings updated successfully,safe
"contact our support team for help. If you have questions, contact support.",safe
"download your purchase receipt. If you have questions, contact support.",safe
"thank you for your purchase. For more details, visit our website.",safe
confirm. Immediate action required.,phishing
update billing immediately to avoid account suspension.,phishing
verify. Please click the link below to resolve this.,phishing
subscribe to our newsletter,safe
Important: enable macros. Follow the link to confirm.,phishing
subscribe to our newsletter,safe
learn more about our services,safe
"Dear customer, payment failed. Click here to continue.",phishing
"your refund has been processed. If you have questions, contact support.",safe
meeting scheduled for tomorrow at 3pm,safe
verify account - action required.,phishing
You have a message: download attachment. Open the attachment.,phishing
Alert: invoice attached. Failure to act will close your account.,phishing
"meeting scheduled for tomorrow at 3pm. If you have questions, contact support.",safe
"here is your invoice. For more details, visit our website.",safe
unauthorized. Please click the link below to resolve this.,phishing
download your purchase receipt,safe
Notice: billing issue. Please update your details.,phishing
enable macros. Immediate action required.,phishing
"here is your invoice. If you have questions, contact support.",safe
thank you for your purchase,safe
payment failed,phishing
your refund has been processed,safe
open attachment - action required.,phishing
"contact our support team for help. If you have questions, contact support.",safe
profile changes saved,safe
You have a message: confirm. Open the attachment.,phishing
"here is your invoice. For more details, visit our website.",safe
"subscribe to our newsletter. For more details, visit our website.",safe
"thank you for your purchase. If you have questions, contact support.",safe
signin,phishing
"order confirmation: thank you for shopping. For more details, visit our website.",safe
"download your purchase receipt. For more details, visit our website.",safe
Notice: enable macros. Please update your details.,phishing
"thank you for your purchase. If you have questions, contact support.",safe
Alert: reset password. Failure to act will close your account.,phishing
account settings updated successfully,safe
verify account. Please click the link below to resolve this.,phishing
reset password,phishing
Important: account suspended. Follow the link to confirm.,phishing
contact our support team for help,safe
Notice: open attachment. Please update your details.,phishing
login - action required.,phishing
your payment was processed successfully,safe
"your order has been shipped. For more details, visit our website.",safe
payment failed. Verify now to secure your account.,phishing
"thank you for your purchase. For more details, visit our website.",safe
verify - action required.,phishing
"account settings updated successfully. If you have questions, contact support.",safe
"your payment was processed successfully. For more details, visit our website.",safe
here is your invoice,safe
invoice attached. Immediate action required.,phishing
Alert: confirm. Failure to act will close your account.,phishing
You have a message: signin. Open the attachment.,phishing
your subscription is active,safe
signin - action required.,phishing
login,phishing
You have a message: open attachment. Open the attachment.,phishing
"thank you for your purchase. For more details, visit our website.",safe
